pollutant,revoked_naaqs,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1992,pw_1993,pw_1994,pw_1995,pw_1996,pw_1997,pw_1998,pw_1999,pw_2000,pw_2001,pw_2002,pw_2003,pw_2004,pw_2005,pw_2006,pw_2007,pw_2008,pw_2009,pw_2010,pw_2011,pw_2012,pw_2013,pw_2014,pw_2015,pw_2016,pw_2017,pw_2018,pw_2019,pw_2020,pw_2021,pw_2022,exportdt
PM-2.5 (1997),,GEORGIA,GA,13,247,Rockdale Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,255,Spalding Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
PM-2.5 (1997),,GEORGIA,GA,13,255,Spalding Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
PM-2.5 (1997),,GEORGIA,GA,13,295,Walker Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,GEORGIA,GA,13,297,Walton Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,2022/4/30
PM-2.5 (1997),,GEORGIA,GA,13,297,Walton Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,GUAM,GU,66,10,Guam,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
Sulfur Dioxide (2010),,GUAM,GU,66,10,Piti-Cabras,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Sulfur Dioxide (1971),,IOWA,IA,19,139,Muscatine Co,,,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,IOWA,IA,19,139,Muscatine Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,2022/4/30
Lead (2008),,IOWA,IA,19,155,Pottawattamie Co,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,,,2022/4/30
Carbon Monoxide (1971),,IDAHO,ID,16,1,Ada Co,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,IDAHO,ID,16,1,Ada Co,,,,,,,,P,P,P,P,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,IDAHO,ID,16,5,Bannock Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,IDAHO,ID,16,17,Bonner Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
PM-2.5 (2006),,IDAHO,ID,16,41,Franklin Co,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,2022/4/30
PM-10 (1987),,IDAHO,ID,16,77,Power Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
PM-10 (1987),,IDAHO,ID,16,79,Shoshone Co,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,2022/4/30
PM-2.5 (2012),,IDAHO,ID,16,79,Shoshone Co,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,31,Cook Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,31,Cook Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,31,Cook Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,31,Cook Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Lead (2008),,ILLINOIS,IL,17,31,Cook Co,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,,,2022/4/30
PM-10 (1987),,ILLINOIS,IL,17,31,Cook Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,31,Cook Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,ILLINOIS,IL,17,31,Cook Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,43,Du Page Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,43,Du Page Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,43,Du Page Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,43,Du Page Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,43,DuPage Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,63,Grundy Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,63,Grundy Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,63,Grundy Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,63,Grundy Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,63,Grundy Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,83,Jersey Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,83,Jersey Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,89,Kane Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,89,Kane Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,89,Kane Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,89,Kane Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,89,Kane Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,93,Kendall Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,93,Kendall Co,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,93,Kendall Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,93,Kendall Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,93,Kendall Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,,,,,,2022/4/30
PM-10 (1987),,ILLINOIS,IL,17,99,La Salle Co,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,97,Lake Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,97,Lake Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,97,Lake Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,97,Lake Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,97,Lake Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,119,Madison Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Lead (2008),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,,,,2022/4/30
PM-10 (1987),,ILLINOIS,IL,17,119,Madison Co,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,2022/4/30
Sulfur Dioxide (2010),,ILLINOIS,IL,17,119,Madison Co,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,111,Mc Henry Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,111,Mc Henry Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,111,Mc Henry Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,111,Mc Henry Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,111,McHenry County,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,133,Monroe Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,133,Monroe Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,133,Monroe Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,133,Monroe Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,133,Monroe County,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Sulfur Dioxide (1971),,ILLINOIS,IL,17,143,Peoria Co,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,ILLINOIS,IL,17,143,Peoria Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,157,Randolph Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,163,St Clair Co,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,163,St Clair Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,163,St Clair Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,163,St Clair Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,163,St. Clair Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
Sulfur Dioxide (1971),,ILLINOIS,IL,17,179,Tazewell Co,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,ILLINOIS,IL,17,179,Tazewell Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,2022/4/30
1-Hour Ozone (1979),Revoked,ILLINOIS,IL,17,197,Will Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,ILLINOIS,IL,17,197,Will Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,3,Allen Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,11,Boone Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,19,Clark Co,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,19,Clark Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2015),,INDIANA,IN,18,19,Clark Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,19,Clark Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,INDIANA,IN,18,27,Daviess Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,29,Dearborn Co,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,INDIANA,IN,18,29,Dearborn Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,29,Dearborn Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,35,Delaware Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,2022/4/30
Lead (2008),,INDIANA,IN,18,35,Delaware Co,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,37,Dubois Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,39,Elkhart Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,39,Elkhart Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,43,Floyd Co,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,43,Floyd Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2015),,INDIANA,IN,18,43,Floyd Co,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,43,Floyd Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,51,Gibson Co,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,55,Greene Co,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,57,Hamilton Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,57,Hamilton Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,59,Hancock Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,63,Hendricks Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,63,Hendricks Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,INDIANA,IN,18,69,Huntington Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,71,Jackson Co,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,77,Jefferson Co,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,81,Johnson Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,81,Johnson Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,91,La Porte Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,INDIANA,IN,18,91,La Porte Co,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,89,Lake Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,89,Lake Co,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,INDIANA,IN,18,89,Lake Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
8-Hour Ozone (2015),,INDIANA,IN,18,89,Lake Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
Carbon Monoxide (1971),,INDIANA,IN,18,89,Lake Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,INDIANA,IN,18,89,Lake Co,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,89,Lake Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,INDIANA,IN,18,89,Lake Co,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,95,Madison Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,97,Marion Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,97,Marion Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
Carbon Monoxide (1971),,INDIANA,IN,18,97,Marion Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Lead (1978),,INDIANA,IN,18,97,Marion Co,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,97,Marion Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,INDIANA,IN,18,97,Marion Co,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,INDIANA,IN,18,97,Marion Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,109,Morgan Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,109,Morgan Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,INDIANA,IN,18,109,Morgan Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,125,Pike Co,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,INDIANA,IN,18,125,Pike Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,127,Porter Co,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,127,Porter Co,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,INDIANA,IN,18,127,Porter Co,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,127,Porter Co,,,,,,,,,,,,,,W,W,W,W,W,W,W,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2015),,INDIANA,IN,18,127,Porter County,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,145,Shelby Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,147,Spencer Co,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,141,St Joseph Co,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,141,St Joseph Co,,,,,,,,,,,,,W,W,W,,,,,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,INDIANA,IN,18,163,Vanderburgh Co,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,163,Vanderburgh Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,163,Vanderburgh Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2022/4/30
PM-10 (1987),,INDIANA,IN,18,165,Vermillion Co,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,167,Vigo Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,INDIANA,IN,18,167,Vigo Co,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (2010),,INDIANA,IN,18,167,Vigo Co,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,INDIANA,IN,18,173,Warrick Co,,,,,,,,,,,,,W,W,,,,,,,,,,,,,,,,,,2022/4/30
PM-2.5 (1997),,INDIANA,IN,18,173,Warrick Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2022/4/30
Sulfur Dioxide (1971),,INDIANA,IN,18,177,Wayne Co,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
Lead (2008),,KANSAS,KS,20,169,Saline Co,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,2022/4/30
1-Hour Ozone (1979),Revoked,KENTUCKY,KY,21,15,Boone Co,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (1997),Revoked,KENTUCKY,KY,21,15,Boone Co,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,,2022/4/30
8-Hour Ozone (2008),,KENTUCKY,KY,21,15,Boone Co,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,,,,,,,2022/4/30
8-Hour Ozone (2015),,KENTUCKY,KY,21,15,Boone Co,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,P,2022/4/30
PM-2.5 (1997),,KENTUCKY,KY,21,15,Boone Co,,,,,,,,,,,,,,W,W,W,W,W,W,,,,,,,,,,,,,2022/4/30
1-Hour Ozone (1979),Revoked,KENTUCKY,KY,21,19,Boyd Co,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/4/30
