month,day,hour,WD,WS
2,15,16.0,130.0,2.6
2,15,17.0,120.0,3.1
2,16,1.0,110.0,2.1
2,16,2.0,110.0,2.6
2,16,3.0,110.0,3.1
2,16,4.0,100.0,4.6
2,16,5.0,120.0,3.6
2,16,8.0,120.0,3.1
2,16,10.0,130.0,3.6
2,16,11.0,130.0,3.6
2,16,12.0,110.0,3.6
2,16,17.0,90.0,3.1
2,16,18.0,110.0,2.6
2,16,19.0,120.0,1.5
2,16,20.0,120.0,2.1
2,16,23.0,110.0,1.5
2,17,1.0,110.0,2.6
2,17,3.0,120.0,1.5
2,17,6.0,110.0,1.5
2,17,13.0,50.0,1.5
2,17,23.0,200.0,1.5
2,18,2.0,210.0,2.6
2,19,6.0,120.0,2.1
2,19,7.0,120.0,2.1
2,19,9.0,120.0,2.1
2,19,10.0,110.0,2.6
2,19,11.0,100.0,3.1
2,19,12.0,110.0,3.1
2,19,13.0,110.0,2.6
2,19,14.0,120.0,3.1
2,19,16.0,100.0,2.1
2,19,17.0,100.0,2.6
2,19,18.0,100.0,3.1
2,19,19.0,100.0,3.1
2,19,20.0,110.0,2.6
2,19,21.0,120.0,2.1
2,19,23.0,110.0,2.6
2,20,1.0,100.0,4.1
2,20,3.0,110.0,3.1
2,20,4.0,120.0,3.1
2,20,5.0,120.0,2.6
2,20,6.0,120.0,3.1
2,20,7.0,120.0,2.6
2,20,8.0,110.0,2.1
2,20,9.0,120.0,2.1
2,20,10.0,90.0,5.7
2,20,11.0,110.0,2.6
2,20,12.0,110.0,3.1
2,20,15.0,100.0,4.1
2,20,17.0,110.0,1.5
2,20,18.0,100.0,2.1
2,20,19.0,90.0,4.1
2,20,20.0,90.0,3.6
2,20,21.0,130.0,1.5
2,20,23.0,110.0,1.5
2,21,1.0,120.0,2.6
2,21,2.0,100.0,3.1
2,21,12.0,100.0,2.1
2,21,14.0,100.0,2.1
2,21,15.0,110.0,1.5
2,21,16.0,100.0,2.6
2,21,19.0,130.0,1.5
2,21,21.0,70.0,2.1
2,22,4.0,60.0,1.5
2,22,13.0,320.0,2.1
2,22,22.0,270.0,1.5
2,23,1.0,360.0,3.6
2,23,4.0,350.0,2.6
2,23,5.0,10.0,2.1
2,23,9.0,340.0,3.6
2,23,10.0,360.0,3.1
2,23,13.0,340.0,4.6
2,23,14.0,330.0,3.6
2,23,16.0,340.0,2.6
2,23,18.0,300.0,4.1
2,23,20.0,320.0,4.1
2,23,23.0,360.0,3.6
2,24,1.0,290.0,3.6
2,24,4.0,310.0,1.5
2,24,8.0,60.0,2.1
2,24,9.0,70.0,1.5
2,24,10.0,50.0,1.5
2,24,11.0,40.0,1.5
2,24,12.0,50.0,1.5
2,24,15.0,70.0,1.5
2,25,20.0,210.0,2.6
2,26,13.0,60.0,1.5
2,27,23.0,130.0,1.5
2,28,1.0,90.0,1.5
2,28,2.0,80.0,1.5
2,28,21.0,360.0,3.1
2,28,23.0,10.0,3.6
3,1,1.0,290.0,3.1
3,1,10.0,60.0,1.5
3,1,12.0,40.0,1.5
3,1,18.0,310.0,2.6
3,2,7.0,50.0,1.5
3,2,8.0,40.0,1.5
3,2,18.0,300.0,1.5
3,3,5.0,50.0,2.6
3,3,7.0,70.0,1.5
3,3,8.0,50.0,1.5
3,3,10.0,60.0,1.5
3,3,18.0,220.0,1.5
3,4,4.0,100.0,1.5
3,4,9.0,130.0,1.5
3,4,10.0,120.0,2.1
3,4,11.0,120.0,2.1
3,4,12.0,110.0,1.5
3,4,17.0,110.0,2.1
3,4,18.0,110.0,2.6
3,4,19.0,100.0,3.6
3,4,20.0,100.0,3.1
3,4,21.0,90.0,3.6
3,5,15.0,140.0,2.1
3,5,17.0,140.0,2.1
3,5,18.0,110.0,2.1
3,6,3.0,200.0,1.5
3,6,7.0,100.0,2.1
3,6,8.0,110.0,1.5
3,6,9.0,130.0,1.5
3,6,10.0,120.0,1.5
3,6,13.0,100.0,1.5
3,6,15.0,110.0,1.5
3,6,16.0,110.0,1.5
3,6,17.0,120.0,1.5
3,6,18.0,100.0,2.1
3,6,23.0,110.0,2.1
3,7,3.0,120.0,1.5
3,7,4.0,110.0,1.5
3,7,5.0,130.0,1.5
3,7,6.0,120.0,1.5
3,7,7.0,110.0,1.5
3,7,8.0,100.0,2.6
3,7,9.0,100.0,3.1
3,7,10.0,100.0,2.6
3,7,11.0,130.0,2.1
3,7,12.0,110.0,2.1
3,7,13.0,110.0,1.5
3,7,16.0,110.0,3.1
3,7,17.0,110.0,3.6
3,7,18.0,110.0,2.1
3,7,19.0,120.0,2.6
3,7,20.0,120.0,2.6
3,7,21.0,110.0,3.1
3,7,22.0,130.0,3.1
3,8,1.0,130.0,2.6
3,8,2.0,120.0,2.6
3,8,3.0,120.0,2.1
3,8,5.0,120.0,2.1
3,8,6.0,110.0,1.5
3,9,20.0,210.0,1.5
3,9,23.0,130.0,1.5
3,10,6.0,80.0,1.5
3,10,7.0,10.0,1.5
3,10,9.0,50.0,1.5
3,10,10.0,80.0,1.5
3,10,18.0,330.0,2.1
3,10,22.0,310.0,2.6
3,10,23.0,300.0,3.6
3,11,4.0,50.0,1.5
3,11,8.0,50.0,1.5
3,11,9.0,50.0,1.5
3,11,20.0,110.0,2.6
3,12,7.0,60.0,2.1
3,12,10.0,50.0,1.5
3,12,11.0,50.0,2.1
3,12,12.0,50.0,1.5
3,12,14.0,50.0,1.5
3,12,16.0,50.0,1.5
3,12,17.0,280.0,1.5
3,12,19.0,310.0,2.6
3,12,20.0,300.0,4.1
3,12,22.0,310.0,3.6
3,13,2.0,340.0,1.5
3,13,3.0,60.0,1.5
3,13,4.0,50.0,1.5
3,13,6.0,60.0,1.5
3,13,7.0,70.0,1.5
3,13,8.0,50.0,1.5
3,13,9.0,60.0,1.5
3,13,10.0,50.0,1.5
3,13,11.0,40.0,1.5
3,13,12.0,50.0,2.6
3,13,13.0,70.0,1.5
3,13,21.0,300.0,4.6
3,13,22.0,300.0,3.6
3,13,23.0,310.0,3.1
3,14,3.0,70.0,2.1
3,14,4.0,50.0,1.5
3,14,5.0,50.0,1.5
3,14,8.0,50.0,1.5
3,14,16.0,80.0,1.5
3,14,19.0,130.0,2.1
3,15,2.0,100.0,1.5
3,15,3.0,100.0,2.1
3,15,8.0,100.0,3.1
3,15,9.0,120.0,1.5
3,15,10.0,110.0,1.5
3,15,12.0,120.0,1.5
3,15,13.0,120.0,1.5
3,15,16.0,130.0,2.6
3,15,17.0,110.0,3.1
3,15,18.0,130.0,2.1
3,15,20.0,120.0,2.1
3,15,22.0,120.0,1.5
3,15,23.0,120.0,1.5
3,16,1.0,110.0,1.5
3,16,3.0,110.0,1.5
3,16,6.0,120.0,2.6
3,16,7.0,100.0,2.6
3,16,8.0,110.0,1.5
3,16,9.0,100.0,1.5
3,16,20.0,110.0,1.5
3,17,20.0,130.0,2.6
3,17,23.0,120.0,1.5
3,18,4.0,120.0,1.5
3,18,12.0,120.0,2.1
3,18,14.0,90.0,3.1
3,18,15.0,100.0,2.1
3,18,17.0,120.0,2.6
3,18,18.0,110.0,2.6
3,18,19.0,120.0,3.1
3,18,21.0,130.0,2.6
3,18,23.0,110.0,3.1
3,19,1.0,120.0,2.6
3,19,3.0,90.0,2.6
3,19,5.0,110.0,1.5
3,19,11.0,110.0,1.5
3,19,18.0,90.0,3.1
3,19,19.0,100.0,2.6
3,20,4.0,130.0,1.5
3,20,17.0,120.0,2.6
3,20,20.0,130.0,2.6
3,20,22.0,120.0,2.1
3,20,23.0,130.0,2.1
3,21,3.0,140.0,2.1
3,21,5.0,110.0,3.1
3,21,6.0,110.0,2.6
3,21,7.0,110.0,3.6
3,21,9.0,110.0,2.1
3,21,10.0,120.0,2.1
3,21,11.0,130.0,2.1
3,21,12.0,120.0,1.5
3,21,13.0,120.0,2.6
3,21,15.0,100.0,1.5
3,21,19.0,110.0,3.1
3,21,21.0,140.0,1.5
3,22,2.0,90.0,2.6
3,22,4.0,120.0,2.1
3,22,5.0,100.0,1.5
3,22,7.0,110.0,1.5
3,22,9.0,110.0,1.5
3,22,10.0,110.0,2.1
3,22,11.0,100.0,2.1
3,22,12.0,120.0,2.1
3,22,13.0,130.0,1.5
3,22,14.0,110.0,1.5
3,22,21.0,320.0,3.1
3,22,22.0,330.0,2.6
3,22,23.0,220.0,2.1
3,23,8.0,290.0,1.5
3,23,9.0,60.0,1.5
3,23,11.0,60.0,1.5
3,23,12.0,70.0,1.5
3,23,14.0,40.0,1.5
3,23,19.0,130.0,1.5
3,24,2.0,130.0,2.6
3,24,4.0,130.0,2.1
3,24,5.0,130.0,2.1
3,24,6.0,130.0,2.6
3,24,7.0,130.0,3.6
3,24,9.0,130.0,3.6
3,24,10.0,120.0,3.1
3,24,11.0,120.0,3.1
3,24,12.0,130.0,2.6
3,24,13.0,130.0,3.1
3,24,14.0,130.0,2.6
3,24,15.0,110.0,2.1
3,24,17.0,130.0,2.6
3,24,18.0,100.0,2.6
3,24,20.0,100.0,2.6
3,24,22.0,120.0,1.5
3,24,23.0,100.0,3.1
3,25,1.0,100.0,2.6
